site_name,address,copa_id
South Shore United Methodist,7350 S. Jeffery,32
South Shore United Methodist Child Care,7350 S Jeffery,1240
Spry ES,,1646
St. Vincent de Paul Center,2145 N. Halsted,1625
Sumner,4320 W. Fifth Ave.,509
The Baby Academy,8607 S Cottage Grove Ave,1329
The Learning Tree II,8233 S Pulaski Ave,1270
The Montessori School of Englewood,6936 S Hermitage Ave,1381
True to Life Foundation-Community Group,6250 S. Wood St,1619
True to Life Foundation-Safe Heaven Shelters,6631 N. Bosworth Ave,1620
Walsh,,1647
Wentworth,,1648
West ridge,6700 N WHIPPLE ST,1555
Whistler,,1649
Whiz Kids Nursery Center,518 W 103rd ST,1016
Woodson,4414 S Evans,366
